dilution_id,28504,28505,28506,28507,28508,28509,28510,28511,28512,28513,28514,28515,28516
dilution_name,12,9,1,5,11,2,4,3,8,10,7,6,Blank 
Group,RC-MV,RC-cell,GC-cell,GC-MV,RC-MV,GC-cell,GC-MV,GC-cell,RC-cell,RC-MV,RC-cell,GC-MV,
Treatment,RC,RC,GC,GC,RC,GC,GC,GC,RC,RC,RC,GC,
rno-miR-10a-5p,34.7984092,36.0396305,32.47766338,32.94977211,36.60335383,32.93435827,33.61489599,32.62133785,36.63624461,33.90148849,34.60375207,32.54076577,ND
rno-miR-122-5p,31.59233447,ND,ND,30.85575482,32.9786241,ND,31.11706905,ND,ND,31.29410002,37.38857298,30.81573391,ND
rno-miR-125a-3p,32.85423959,33.12127946,34.23662272,35.07054035,33.3614053,35.07890847,34.60547139,32.74357005,33.28301206,32.50510008,33.31386553,34.28052909,ND
rno-miR-125a-5p,26.07376243,25.08884211,25.46936615,27.26265534,26.75237985,25.6156712,27.24561806,25.22711092,25.00945596,25.61974342,25.06246368,26.54438816,ND
rno-miR-125b-5p,22.88903831,22.16675919,22.03352681,23.9226202,23.57524726,22.33700616,23.99147089,22.09316628,22.0409888,22.33662206,21.96422356,23.11005618,ND
rno-miR-126a-3p,28.6270373,30.54683227,30.6630139,27.79722045,29.91016967,30.89231147,28.03826408,30.13235905,30.11458794,28.01200717,30.76074216,27.75613312,ND
rno-miR-127-3p,27.70641271,27.16644297,27.73197074,29.67351464,28.14901906,27.8291559,29.24784777,27.66920233,26.64279612,27.24743363,27.04598643,28.65424185,ND
rno-miR-128-3p,32.1286026,31.71644611,31.41888716,32.12939998,32.51873908,31.6013894,31.94011629,31.14388154,30.98985103,31.2654595,31.23070722,31.31102109,ND
rno-miR-129-2-3p,35.23691324,35.90177147,36.35220983,36.61586997,36.11123118,35.55028738,35.89045823,36.20191327,34.70823694,33.01321044,36.98420202,34.60994399,ND
rno-miR-129-5p,35.69921817,34.64844263,34.05529727,34.566743,35.28861663,36.53241386,36.50895903,34.68864738,36.05526996,35.30548552,34.84004375,33.62017099,ND
rno-miR-130a-3p,29.55562094,28.62909676,27.97088034,29.8248428,31.53784875,28.45995311,30.08377021,27.86001785,28.49663562,29.11820164,28.29556637,28.78388689,ND
rno-miR-130b-3p,36.94614858,35.2179073,37.16761751,34.98094897,ND,35.35094546,35.73362732,35.08545447,36.4658056,36.01617883,35.789639,35.224641,ND
rno-miR-132-3p,30.11711906,30.29775482,29.30266888,29.51968894,30.92033339,29.19660671,29.80045228,29.0341252,29.91353599,29.80628999,30.35013214,28.84015445,ND
rno-miR-133a-3p,34.49364917,ND,ND,34.25019536,35.29102189,37.39068742,34.49988926,ND,ND,33.57916791,37.45362512,32.76101263,ND
rno-miR-133b-3p,34.40697494,ND,36.44604998,33.90721152,35.71139749,39.44863409,34.42195241,ND,ND,34.28489929,38.33473059,33.36195579,ND
